#RECORD_TYPE|REFERENCE_ID|SERVICE_ID|CATEGORY_ID|CHARGING_CP_ID|BEARER|VAS_GROUP|VAS_TYPE|PRICE|CHARGING_DESCRIPTION|CONFIRMED_DATE|GSM_ADVANCE|ONE_2_CALL|GSM_1800|CCT|STATUS|LAST_UPDATE|AWN_Postpaid|AWN_Prepaid|SERVICE_CATEGORY|SERVICE_MODEL|PKG_ID|BUSINESS_CODE|BUSINESS_GROUP_ID|DR_TYPE_ID|NAME|INCL_TAX|DESCRIPTION|SERVICE_NUMBER|REVENUE_SHARE_OPERATOR|REVENUE_SHARE_PARTNER|Company_Name|Per_Transaction|Per_Package|Per_Month|Other|Service_Name|Current_Call_Charge_Group|TentativeLaunchDtm|dtUpdate|cSeq|cFileName
2|USMAP920(1)/2558|72495|902|487|0|15|43|6|4244250_DAILY_WALLPAPER|9/9/2015|Yes|Yes|No|11|On Service|9/7/2015|Yes|Yes|32|3|4994|9.02488E+17|1284|250200|INDA|1|mEntn/Wallpaper |4244250|50|50|INDEX ASIA|Yes|No|No|Per Transaction 1 per day|Daily Wallpaper|17|1/1/1900|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP616(2)/2559|88449|902|750|0|15|49|0|4750209_VIDEO02|7/4/2016|Yes|Yes|No|10|On Service|7/7/2016|Yes|Yes|32|1|6450|9.02751E+17|1310|250200|SUNN|1|mEntn/VDOclip|4750209|50|50|Sunnetic|Yes|No|No|Per Transaction 1 per day|Video02|20|6/30/2016|7/8/2016|2.01678E+11|USMAP_VAS_GROUP_TYPE_20160708_004000.dat
2|USMAP3600(1)/2559|52146|902|131|0|15|49|8|4131002_DAILY_VIDEO|8/26/2016|Yes|Yes|No|11|On Service|8/26/2016|Yes|Yes|32|1|2361|9.02132E+17|1318|250200|MOBS|1|mEntn/VDOclip|4131002|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Video|20|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP1154(3)/2558|91172|902|503|0|15|20|0|4503271_OHOCLUB(5)-18|11/5/2015|Yes|Yes|No|9|On Service|11/6/2015|Yes|Yes|32|3|6862|9.02504E+17|463|250200|AVIM|1|mEntn/Content|4503271|50|50|AVI Mobiletainment|Yes|No|No|Per Transaction 2 per day|OhoClub(5)-18|19|10/21/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP851(4)/2558|89605|902|503|0|15|49|0|4503261_OHOCLUB(4)-19|8/24/2015|Yes|Yes|No|9|On Service|8/21/2015|Yes|Yes|32|3|6717|9.02504E+17|463|250200|AVIM|1|mEntn/VDOclip|4503261|50|50|AVI Mobiletainment|Yes|No|No|Per Transaction 2 per day|OhoClub(4)-19|20|8/13/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP733(3)/2558|89253|902|408|0|15|49|0|4221353_EXCLUSIVE_CONTENT1_-_4221353|8/13/2015|Yes|Yes|No|10|On Service|8/11/2015|Yes|Yes|32|1|6672|9.02409E+17|1310|250200|VISI|1|mEntn/VDOclip|4221353|50|50|VISION CORNER|Yes|No|No|Per Transaction 3 per day|Exclusive Content1 - 4221353|20|7/29/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP1268(3)/2558|91440|902|503|0|15|49|0|4503276_CLIPFINFIN(2)-16|12/3/2015|Yes|Yes|No|99|On Service|12/3/2015|Yes|Yes|32|3|6893|9.02504E+17|463|250200|AVIM|1|mEntn/VDOclip|4503276|50|50|AVI Mobiletainment|Yes|No|No|Per Transaction 2 per day|ClipFinFin(2)-16|20|11/18/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20160219_004000.dat
2|USMAP3601(1)/2559|64656|902|131|0|15|49|8|4131012_DAILY_VIDEO_2|8/26/2016|Yes|Yes|No|11|On Service|8/26/2016|Yes|Yes|32|1|3793|9.02132E+17|1318|250200|MOBS|1|mEntn/VDOclip|4131012|50|50|Mobistar|Yes|No|No|Per Transaction 2 per day|Daily Video 2|20|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP853(3)/2558|89641|902|503|0|15|49|0|4503263_BRIGHTCLUB(2)-13|8/24/2015|Yes|Yes|No|99|On Service|8/21/2015|Yes|Yes|32|3|6719|9.02504E+17|463|250200|AVIM|1|mEntn/VDOclip|4503263|50|50|AVI Mobiletainment|Yes|No|No|Per Transaction 2 per day|BrightClub(2)-13|20|8/13/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP733(3)/2558|89253|902|408|0|15|49|0|4221353_EXCLUSIVE_CONTENT1_-_4221353|8/13/2015|Yes|Yes|No|99|On Service|8/11/2015|Yes|Yes|32|1|6672|9.02409E+17|463|250200|VISI|1|mEntn/VDOclip|4221353|50|50|VISION CORNER|Yes|No|No|Per Transaction 3 per day|Exclusive Content1 - 4221353|20|7/29/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP673(1)/2558|74133|902|594|0|15|49|0|4594592_VDC29-VDO_DAILY_C|7/16/2015|Yes|Yes|No|9|On Service|7/16/2015|Yes|Yes|32|3|5213|9.02595E+17|463|250200|MOBS|1|mEntn/VDOclip|4594592|50|50|Mobipier|Yes|No|No|Per Transaction 1 per day|VDC29-VDO Daily C|20|1/1/1900|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
